characteristic_id,sensor_id,frequency,amplitude,signal_type
1,19,587.23,3.71,Sine
2,16,76.92,4.26,Square
3,5,538.49,7.24,Sine
4,14,773.23,2.16,Triangle
5,9,283.31,1.81,Triangle
6,3,497.25,9.94,Triangle
7,21,717.42,1.5,Triangle
8,16,345.4,7.14,Triangle
9,26,82.43,5.87,Sine
10,9,421.67,3.52,Triangle
11,18,695.25,8.18,Sine
12,13,323.72,1.44,Square
13,5,159.31,6.95,Triangle
14,15,511.74,8.86,Triangle
15,9,883.9,2.41,Triangle
16,7,344.33,5.83,Triangle
17,28,556.25,3.54,Triangle
18,26,636.28,0.09,Triangle
19,16,6.98,4.15,Sine
20,1,170.0,6.66,Triangle
21,2,245.6,1.7,Triangle
22,4,419.87,7.27,Triangle
23,19,374.47,5.93,Square
24,28,860.76,4.62,Triangle
25,24,516.53,0.54,Triangle
26,18,424.05,3.16,Square
27,4,432.18,5.86,Triangle
28,27,1.8,5.3,Square
29,23,484.08,1.59,Triangle
30,7,353.91,9.75,Triangle
