,fluid_id,fluid_name,density,viscosity,specific_heat,measurement_id,experiment_id,pressure,velocity,temperature,flow_rate,experiment_name,experiment_date,description
0,1,Water,1000.0,1.0,4184,3.0,13.0,9935.89,3.43,96.22,3.43,Turbulent Flow Measurement,2023-08-11,"This experiment investigates the behavior of Water under various flow conditions, focusing on turbulent flow measurement."
1,1,Water,1000.0,1.0,4184,16.0,8.0,5280.64,1.08,99.99,1.08,Heat Transfer in Fluids,2023-09-18,"This experiment investigates the behavior of Water under various flow conditions, focusing on heat transfer in fluids."
2,2,Air,1.225,0.0181,1005,7.0,9.0,8.05,0.9,50.42,0.0,Turbulent Flow Measurement,2023-12-29,"This experiment investigates the behavior of Air under various flow conditions, focusing on turbulent flow measurement."
3,2,Air,1.225,0.0181,1005,43.0,9.0,5.36,1.48,57.61,0.0,Turbulent Flow Measurement,2023-12-29,"This experiment investigates the behavior of Air under various flow conditions, focusing on turbulent flow measurement."
4,2,Air,1.225,0.0181,1005,49.0,9.0,8.41,4.99,61.32,0.01,Turbulent Flow Measurement,2023-12-29,"This experiment investigates the behavior of Air under various flow conditions, focusing on turbulent flow measurement."
5,3,Oil,850.0,10.0,2000,11.0,11.0,7074.18,3.93,29.66,3.34,Phase Change Experiments,2021-02-27,"This experiment investigates the behavior of Oil under various flow conditions, focusing on phase change experiments."
6,3,Oil,850.0,10.0,2000,13.0,16.0,6990.39,1.46,25.91,1.24,Flow Visualization Techniques,2021-05-10,"This experiment investigates the behavior of Oil under various flow conditions, focusing on flow visualization techniques."
7,3,Oil,850.0,10.0,2000,21.0,16.0,4188.95,2.0,32.77,1.7,Flow Visualization Techniques,2021-05-10,"This experiment investigates the behavior of Oil under various flow conditions, focusing on flow visualization techniques."
8,3,Oil,850.0,10.0,2000,22.0,19.0,3439.12,2.56,26.66,2.18,Viscosity Determination,2020-05-29,"This experiment investigates the behavior of Oil under various flow conditions, focusing on viscosity determination."
9,3,Oil,850.0,10.0,2000,24.0,16.0,2448.93,3.47,99.72,2.95,Flow Visualization Techniques,2021-05-10,"This experiment investigates the behavior of Oil under various flow conditions, focusing on flow visualization techniques."
10,3,Oil,850.0,10.0,2000,26.0,19.0,4435.61,2.35,27.95,2.0,Viscosity Determination,2020-05-29,"This experiment investigates the behavior of Oil under various flow conditions, focusing on viscosity determination."
11,3,Oil,850.0,10.0,2000,28.0,11.0,4584.07,4.8,98.13,4.08,Phase Change Experiments,2021-02-27,"This experiment investigates the behavior of Oil under various flow conditions, focusing on phase change experiments."
12,3,Oil,850.0,10.0,2000,47.0,16.0,4753.15,1.39,36.27,1.18,Flow Visualization Techniques,2021-05-10,"This experiment investigates the behavior of Oil under various flow conditions, focusing on flow visualization techniques."
13,4,Ethanol,789.0,1.2,2400,,,,,,,,,
14,5,Glycerin,1260.0,1500.0,2400,,,,,,,,,
15,6,Mercury,13546.0,1.55,138,25.0,1.0,69782.27,0.69,54.49,9.35,Non-Newtonian Fluid Behavior,2024-08-01,"This experiment investigates the behavior of Mercury under various flow conditions, focusing on non-newtonian fluid behavior."
16,6,Mercury,13546.0,1.55,138,38.0,1.0,52201.87,3.16,52.56,42.81,Non-Newtonian Fluid Behavior,2024-08-01,"This experiment investigates the behavior of Mercury under various flow conditions, focusing on non-newtonian fluid behavior."
17,6,Mercury,13546.0,1.55,138,41.0,12.0,44862.87,3.12,85.76,42.26,Flow Rate Calibration,2022-02-14,"This experiment investigates the behavior of Mercury under various flow conditions, focusing on flow rate calibration."
18,6,Mercury,13546.0,1.55,138,50.0,5.0,77135.42,2.46,42.92,33.32,Pneumatic System Testing,2023-08-08,"This experiment investigates the behavior of Mercury under various flow conditions, focusing on pneumatic system testing."
19,7,Acetone,784.0,0.32,2180,23.0,10.0,2109.93,4.17,52.71,3.27,Heat Transfer in Fluids,2024-04-04,"This experiment investigates the behavior of Acetone under various flow conditions, focusing on heat transfer in fluids."
20,7,Acetone,784.0,0.32,2180,29.0,17.0,7678.21,4.1,26.63,3.21,Flow Rate Calibration,2020-06-27,"This experiment investigates the behavior of Acetone under various flow conditions, focusing on flow rate calibration."
21,7,Acetone,784.0,0.32,2180,31.0,17.0,7541.38,1.25,26.5,0.98,Flow Rate Calibration,2020-06-27,"This experiment investigates the behavior of Acetone under various flow conditions, focusing on flow rate calibration."
22,7,Acetone,784.0,0.32,2180,32.0,17.0,3302.93,0.78,51.72,0.61,Flow Rate Calibration,2020-06-27,"This experiment investigates the behavior of Acetone under various flow conditions, focusing on flow rate calibration."
